"id","Provincia","week","year","cases","ADM2_PCODE_ignore","pop","ADM1_PCODE"
"QUEVEDO","LOS RIOS",22,2015,6,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",22,2016,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",22,2019,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",22,2020,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",22,2021,5,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",22,2022,5,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",22,2023,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",23,2014,10,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",23,2015,7,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",23,2016,7,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",23,2021,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",23,2022,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",23,2023,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",24,2014,22,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",24,2015,21,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",24,2016,8,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",24,2020,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",24,2021,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",24,2022,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",24,2023,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",25,2014,16,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",25,2015,11,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",25,2016,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",25,2018,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",25,2020,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",25,2021,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",25,2022,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",25,2023,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",26,2014,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",26,2015,16,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",26,2016,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",26,2017,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",26,2018,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",26,2021,5,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",26,2022,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",26,2023,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",27,2014,15,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",27,2015,7,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",27,2016,9,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",27,2017,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",27,2019,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",27,2020,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",27,2021,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",27,2022,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",27,2023,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",28,2014,12,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",28,2015,8,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",28,2016,5,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",28,2020,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",28,2022,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",28,2023,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",29,2014,17,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",29,2015,5,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",29,2016,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",29,2019,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",29,2020,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",29,2021,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",29,2023,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",30,2014,10,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",30,2015,5,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",30,2016,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",30,2020,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",30,2021,9,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",30,2022,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",30,2023,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",31,2014,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",31,2015,9,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",31,2016,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",31,2019,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",31,2020,6,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",31,2021,7,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",31,2022,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",31,2023,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",32,2015,8,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",32,2016,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",32,2018,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",32,2020,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",32,2021,5,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",32,2022,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",32,2023,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",33,2014,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",33,2016,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",33,2019,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",33,2020,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",33,2021,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",33,2022,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",33,2023,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",34,2014,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",34,2016,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",34,2019,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",34,2020,8,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",34,2021,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",34,2022,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",35,2014,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",35,2015,13,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",35,2019,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",35,2020,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",35,2022,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",36,2015,12,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",36,2016,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",36,2018,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",36,2019,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",36,2020,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",37,2014,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",37,2015,10,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",37,2016,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",37,2020,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",37,2021,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",38,2015,10,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",38,2016,6,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",38,2021,5,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",38,2022,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",39,2014,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",39,2015,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",39,2016,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",39,2020,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",39,2021,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",40,2014,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",40,2015,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",40,2016,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",40,2019,7,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",40,2020,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",40,2021,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",40,2022,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",41,2014,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",41,2015,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",41,2016,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",41,2019,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",41,2021,5,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",41,2022,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",42,2014,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",42,2015,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",42,2016,7,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",42,2020,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",42,2021,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",42,2022,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",43,2014,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",43,2015,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",43,2016,8,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",43,2019,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",43,2020,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",43,2021,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",43,2022,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",44,2014,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",44,2015,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",44,2016,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",44,2019,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",44,2020,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",44,2021,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",45,2014,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",45,2015,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",45,2016,5,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",45,2019,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",45,2020,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",45,2021,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",45,2022,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",46,2014,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",46,2016,10,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",46,2019,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",46,2020,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",46,2021,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",46,2022,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",47,2014,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",47,2015,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",47,2016,10,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",47,2020,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",47,2021,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",48,2015,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",48,2016,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",48,2019,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",48,2020,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",48,2021,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",48,2022,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",49,2014,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",49,2015,1,"EC1205",211855,"EC12"
