"","LU_0","LU_3","LU_4","LU_5","LU_6","LU_9","LU_11","LU_12","LU_13","LU_15","LU_18","LU_21","LU_24","LU_25","LU_27","LU_30","LU_31","LU_32","LU_33","LU_34","LU_35","id"
"405",0,0,2236.57814518031,0,0,0,0,0,0,0,438.264571132144,8939.93733238282,56261.7565162959,642.983764078829,0,0,0,0,0,0,0,"140120"
"406",0,0,163.225998763286,0,0,0,0,0,0,0,99.0989504012253,1811.25050659692,94924.6185981035,67.4691555733224,0,0,0,0,0,0,0,"140201"
"407",0,0,16.6730443320122,0,0,0,0,0,0,0,0.138983997603688,1902.74591509054,2869.62489652634,204.942771711096,0,0,0,0,0,0,0,"140204"
"408",0,0,3822.49151240268,0,0,0,0,0,36.8883314728737,0,110.66182195954,4961.22227536552,9767.31233556337,233.73300665617,0,0,0,0,0,0,0,"140205"
"409",0,0,102.979530292185,0,0,0,0,0,0,0,0,530.168299664005,38333.8786255843,853.485388047178,0,0,0,0,0,0,0,"140206"
"410",0,0,1896.8660332049,0,0,0,0,0,0,0,498.165814394853,9449.13251631747,151806.261777493,6186.79377147923,0,0,0,0,4.17903635129915,0,0,"140301"
"411",0,0,334.874862765209,0,0,0,0,0,0,0,0,100.232428316725,642.567026097327,0.428362998412922,0,0,0,0,0,0,0,"140302"
"412",0,0,1651.58915830643,0,0,0,0,0,5.56283553782851,0,0,3030.75453224398,19309.7420830296,872.836538512318,0,0,0,0,0,0,0,"140304"
"413",0,0,424.632969381288,0,0,0,0,0,0,0,986.774525665991,582.696060491072,19791.4472031279,130.750058028847,0,0,0,0,0,0,0,"140305"
"414",0,0,1454.59164215151,0,0,0,0,0,0,0,0,3968.39426046098,27362.9726357526,1952.07267509072,0,0,0,0,0,0,0,"140306"
"415",0,0,2280.1933137319,0,0,0,0,0,0,0,0,5301.21724442426,39100.6764094417,212.541577663273,0,0,0,0,0,0,0,"140307"
"416",0,0,883.591789931115,0,0,0,0,0,0,0,0,2996.24347214132,36255.9045248646,755.911571071894,0,0,0,0,62.4997488593217,0,0,"140308"
"417",0,0,739.025491043926,0,0,0,0,0,0,0,0,2602.24374083266,10479.5208264105,76.6814159285277,0,0,0,0,0,0,0,"140303"
"418",0,0,439.073514252901,0,0,0,0,0,0,0,0,1650.47483846771,8745.52694879845,254.589029092342,0,0,0,0,0,0,0,"140309"
